rank,Ticker,decision_date,current_price_date,start_price,end_price,current_price,month_to_date_return,momentum
1,PANW,2026-09-01,2026-09-08,181.0800018310547,362.0899963378906,336.9800109863281,-0.06934736006385189,0.9996133900844331
2,CRWD,2026-09-01,2026-09-08,113.91000366210938,215.07000732421875,210.0200042724609,-0.023480740595061,0.88806953217366
3,FTNT,2026-09-01,2026-09-08,86.29000091552734,161.85000610351562,157.47000122070312,-0.0270621236801879,0.8756519224279176
4,MU,2026-09-01,2026-09-08,542.1266479492188,933.4400024414062,1000.260009765625,0.07158468369627546,0.7218116946888065
5,DDOG,2026-09-01,2026-09-08,140.52999877929688,223.83999633789065,210.22999572753903,-0.060802362549216005,0.5928271421209685
6,WDAY,2026-09-01,2026-09-08,126.95999908447266,198.3800048828125,186.27999877929688,-0.06099408108525539,0.5625394322098305
7,DXCM,2026-09-01,2026-09-08,61.34999847412109,90.13999938964844,84.52999877929688,-0.06223652815994818,0.46927468022141294
8,PAYX,2026-09-01,2026-09-08,90.8923797607422,125.63999938964844,116.93000030517578,-0.06932504876460766,0.3822940902237688
9,ALAB,2026-09-01,2026-09-08,202.67999267578125,279.9100036621094,288.8500061035156,0.03193884578772721,0.38104407823750885
10,AMGN,2026-09-01,2026-09-08,325.4461364746094,438.1199951171875,393.1700134277344,-0.10259742123257809,0.3462135389380132
