rank,Ticker,decision_date,current_price_date,start_price,end_price,current_price,month_to_date_return,momentum
1,REGN,2026-09-01,2026-09-08,599.9594116210938,823.8200073242188,810.3099975585938,-0.016399225128685302,0.37312623382013865
2,DASH,2026-09-01,2026-09-08,164.77999877929688,225.66000366210935,200.44000244140625,-0.11176106005238795,0.36946234575686554
3,AMGN,2026-09-01,2026-09-08,327.2177429199219,438.1199951171875,393.1700134277344,-0.10259742123257809,0.3389249348388974
4,ABNB,2026-09-01,2026-09-08,137.8699951171875,182.5449981689453,174.5399932861328,-0.0438522280156034,0.324037170044031
5,WDAY,2026-09-01,2026-09-08,157.22999572753906,198.3800048828125,186.27999877929688,-0.06099408108525539,0.26171856689852957
6,VRTX,2026-09-01,2026-09-08,438.3999938964844,547.6500244140625,528.9000244140625,-0.03423719376267875,0.24920171541647962
7,PAYX,2026-09-01,2026-09-08,101.3843765258789,125.63999938964844,116.93000030517578,-0.06932504876460766,0.2392441882559504
8,ADP,2026-09-01,2026-09-08,231.97999572753903,283.489990234375,267.9599914550781,-0.054781471354447,0.22204498428965636
9,ROP,2026-09-01,2026-09-08,343.3887939453125,418.30999755859375,395.6499938964844,-0.054170361201886674,0.21818185373053578
10,PANW,2026-09-01,2026-09-08,300.4800109863281,362.0899963378906,336.9800109863281,-0.06934736006385189,0.20503854865196258
